id,date,user,pc,activity
{W7B0-E4UK50GU-4821JRSF},01/04/2010 14:57:55,DTAA/SAH0192,PC-4079,Connect
{Q0L7-X2TH84GT-7893AYCV},01/04/2010 15:00:06,DTAA/IKH0904,PC-3664,Connect
{S9H9-D2HF69WA-4421EGWT},01/04/2010 15:05:30,DTAA/CAW0976,PC-4600,Connect
{K7K2-I8WT67IL-1121RZFB},01/04/2010 15:12:42,DTAA/IKH0904,PC-3664,Disconnect
{Z9I8-W0NV16GD-9163SMPK},01/04/2010 15:15:03,DTAA/EMZ0196,PC-1479,Disconnect
{P5V7-V3MC39UY-1891IUEX},01/04/2010 15:17:01,DTAA/COS0121,PC-0462,Disconnect
{G8T5-R3RD00MO-6135VQBK},01/04/2010 15:17:59,DTAA/LRH0747,PC-2216,Connect
{N7P6-K9ZQ08RX-5205OBNM},01/04/2010 15:22:45,DTAA/AMA0191,PC-4736,Connect
{S5F7-U9BY85PP-2716OMMJ},01/04/2010 15:23:03,DTAA/CSC0297,PC-2848,Disconnect
{E7F1-M7YR38PK-2293HFPW},01/04/2010 15:27:51,DTAA/BGF0236,PC-1848,Disconnect
{G8J2-C3RL83QD-7382FHFT},01/04/2010 15:28:05,DTAA/CHM0645,PC-1775,Connect
{G3F9-A9VR56EU-3416CAOW},01/04/2010 15:28:37,DTAA/RXE0207,PC-0650,Disconnect
{S7U0-M6BQ87WE-3081HGRB},01/04/2010 15:28:45,DTAA/AJC0266,PC-4661,Connect
{A4C9-N0TJ70YA-1945SEIX},01/04/2010 15:33:28,DTAA/JZO0727,PC-2134,Disconnect
{L6O9-G6EL65OK-8150FJBZ},01/04/2010 15:35:27,DTAA/PSP0555,PC-0017,Disconnect
{V8H6-I6RF08PB-1779FURU},01/04/2010 15:40:36,DTAA/SAH0192,PC-4079,Disconnect
{G7I2-N2CQ16LF-3703BVJR},01/04/2010 15:41:35,DTAA/PXB0069,PC-1972,Disconnect
{U3A6-B4TO53EX-7509PDUO},01/04/2010 15:46:31,DTAA/YCB0005,PC-3392,Connect
{P5O0-L6UX75HO-3554NWCG},01/04/2010 15:49:35,DTAA/SPK0818,PC-1938,Disconnect
{E1Q8-W7FB63EU-7143VFCE},01/04/2010 15:53:46,DTAA/LCK0666,PC-3245,Disconnect
{W0D8-U1SI51EW-3911YIAL},01/04/2010 15:58:10,DTAA/JNF0543,PC-1389,Connect
{B8O1-T5QL88ZV-8496IKLT},01/04/2010 15:59:48,DTAA/JNF0543,PC-1389,Disconnect
{Z8J5-S0CZ03OS-8394JAQM},01/04/2010 16:01:14,DTAA/RCW0436,PC-3171,Disconnect
{W3C4-X6VC70AV-9357BLHC},01/04/2010 16:02:02,DTAA/VMA0051,PC-1950,Connect
{G6N8-Z4FS34CQ-8833SBXM},01/04/2010 16:02:09,DTAA/WJG0153,PC-3249,Connect
{I1Q8-Q0LN71QO-0332RMKE},01/04/2010 16:02:59,DTAA/AJC0266,PC-4661,Disconnect
{I6P4-J9QM51TI-6114HWDG},01/04/2010 16:03:30,DTAA/WDW0485,PC-3096,Disconnect
{W0M9-F3TZ56IY-1029CTHH},01/04/2010 16:05:37,DTAA/ARK0026,PC-2707,Connect
{M1X3-D6TR80KP-7692JAWA},01/04/2010 16:06:11,DTAA/CAC0854,PC-0303,Connect
{Y9U1-L7PY15HJ-2379TTZX},01/04/2010 16:06:31,DTAA/GRS0372,PC-2242,Connect
{R1S7-A3YG87QF-9462ZJAX},01/04/2010 16:08:54,DTAA/AJA0220,PC-3872,Disconnect
{U1D6-C2MR92FT-7306IMFD},01/04/2010 16:11:33,DTAA/SHR0025,PC-0288,Connect
{W6J8-K3BA20OC-3993RMCH},01/04/2010 16:14:31,DTAA/GRS0372,PC-2242,Disconnect
{U6P5-S8YX76GW-6875XUOK},01/04/2010 16:15:19,DTAA/HSR0472,PC-3512,Connect
{P4L6-Y7BE54HB-1666KDJB},01/04/2010 16:15:56,DTAA/OJH0425,PC-1730,Disconnect
{R2U7-V2ZG96OQ-3356GRYE},01/04/2010 16:17:37,DTAA/ATJ0284,PC-4337,Connect
{U1X4-L8JJ48JD-5659JKVE},01/04/2010 16:20:09,DTAA/SHR0025,PC-0288,Disconnect
{N5W2-F7ZG76LK-3206AABD},01/04/2010 16:20:19,DTAA/WJG0153,PC-3249,Disconnect
{N5O0-T0XR66AN-4091GXWY},01/04/2010 16:20:27,DTAA/JMS0793,PC-3179,Connect
{Y0Q9-A8HQ46TU-6361FIVI},01/04/2010 16:21:43,DTAA/MXM0838,PC-4983,Disconnect
{K5Q2-Q9XE15JW-4811GSHY},01/04/2010 16:25:34,DTAA/KKW0676,PC-4445,Connect
{L5M2-W6WM42HF-0053OIWD},01/04/2010 16:27:27,DTAA/HIB0604,PC-4209,Connect
{U8F8-O7RA70LI-2660OYOD},01/04/2010 16:27:48,DTAA/HSR0472,PC-3512,Disconnect
{N3W5-K1CH94OE-1897AHIH},01/04/2010 16:31:34,DTAA/ESB0080,PC-2529,Disconnect
{Q3L0-H0GG87XB-3684IYRI},01/04/2010 16:32:48,DTAA/ATJ0284,PC-4337,Disconnect
{K5I4-A3PW08IV-9423IRTY},01/04/2010 16:33:29,DTAA/YCB0005,PC-3392,Disconnect
{U5D9-M9SI58WM-0223ELMR},01/04/2010 16:37:06,DTAA/BNW0850,PC-2260,Disconnect
{X1K5-Q1WL01FE-4210CRCD},01/04/2010 16:37:13,DTAA/CAW0976,PC-4600,Disconnect
{O6L4-M0OF64DU-3520DCSP},01/04/2010 16:38:18,DTAA/JMS0793,PC-3179,Disconnect
{M1K6-R2OW82RG-9457VYOA},01/04/2010 16:39:22,DTAA/AMA0191,PC-4736,Disconnect
{I2Q9-A2LO66OR-2467JMSA},01/04/2010 16:42:18,DTAA/VMA0051,PC-1950,Disconnect
{X3L5-N0MN34CB-5500HXDK},01/04/2010 16:45:15,DTAA/JJR0278,PC-1005,Disconnect
{O3R4-I1AE59QQ-5882NFQD},01/04/2010 16:49:40,DTAA/RBC0879,PC-1261,Disconnect
{O3Z7-E5GI14EN-9311UGRK},01/04/2010 16:55:38,DTAA/HTC0607,PC-1033,Connect
{F2N7-N4JC30ET-8225FZZM},01/04/2010 16:59:14,DTAA/LRH0747,PC-2216,Disconnect
{Y3S3-Y5ZC13BQ-5563XBSC},01/04/2010 17:07:43,DTAA/CCG0876,PC-3910,Connect
{P0D9-A0HI36QI-3051OQAA},01/04/2010 17:11:48,DTAA/ACH0803,PC-4334,Connect
{Q4Z6-K6UC02PV-0647UCKG},01/04/2010 17:14:47,DTAA/ACH0803,PC-4334,Disconnect
{O5Y4-V6XK28ZN-9914FOYJ},01/04/2010 17:14:50,DTAA/ABB0272,PC-0726,Disconnect
{H1Z3-J1FV58PY-6205GYMF},01/04/2010 17:15:43,DTAA/MCM0346,PC-2974,Disconnect
{M2F7-F6DF54WL-0240YAOU},01/04/2010 17:19:27,DTAA/CCG0876,PC-3910,Disconnect
{E6N7-A5ES23JG-3126YVON},01/04/2010 17:28:07,DTAA/FDP0500,PC-4873,Connect
{Z7W6-N4NP95QT-4655SUMF},01/04/2010 17:32:54,DTAA/CAC0854,PC-0303,Disconnect
{R1Q8-G7XQ69YS-2738MBRE},01/04/2010 17:36:20,DTAA/VFP0669,PC-1717,Disconnect
{P9X7-Z6GZ65LV-7093BAPS},01/04/2010 17:36:40,DTAA/KKW0676,PC-4445,Disconnect
{R7O4-N0FR01UJ-2972ZRVG},01/04/2010 17:38:08,DTAA/AGW0182,PC-4531,Connect
{C2N6-S5HD66DD-2793MEMM},01/04/2010 17:39:17,DTAA/AGW0182,PC-4531,Disconnect
{A2L4-R9PN29LR-8904UVGP},01/04/2010 17:40:59,DTAA/MMF0289,PC-1734,Disconnect
{Q3G9-E1BV38TT-6446SUXD},01/04/2010 17:49:56,DTAA/ARK0026,PC-2707,Disconnect
{X0X0-N0WG09MM-3514PSYS},01/04/2010 17:50:25,DTAA/TAO0639,PC-2198,Disconnect
{B5H0-N5TB86SE-5250JCBD},01/04/2010 17:54:46,DTAA/GRG0693,PC-3411,Connect
{B0P0-W8XR71ID-1881QNBJ},01/04/2010 18:07:44,DTAA/JSB0493,PC-2493,Connect
{T5T1-B5IE85XJ-5061EZZW},01/04/2010 18:22:38,DTAA/CPP0761,PC-2665,Disconnect
{X6R0-Y4OL75TB-5507TPCZ},01/04/2010 18:23:02,DTAA/HIB0604,PC-4209,Disconnect
{K5W1-U7CN77EM-7749JCFE},01/04/2010 18:23:27,DTAA/JSB0493,PC-2493,Disconnect
{B1I5-Q7MC99EN-8535GGQL},01/04/2010 18:29:31,DTAA/XKR0971,PC-1355,Connect
{Q9V5-K9WL63DC-9655ECKU},01/04/2010 18:39:20,DTAA/AJB0016,PC-1116,Connect
{I6A2-G3UE77MA-7402SPEN},01/04/2010 18:41:27,DTAA/XKR0971,PC-1355,Disconnect
{D9A9-F1GM06HV-7040RICE},01/04/2010 18:49:02,DTAA/HDR0261,PC-2506,Disconnect
{K7C3-G0WT93CQ-8087EROY},01/04/2010 18:54:54,DTAA/OYR0801,PC-0088,Disconnect
{I8R7-T6SC06LF-6125DHEF},01/04/2010 19:01:18,DTAA/LBB0095,PC-2780,Connect
{Z5W0-S8FA75IH-2544ENPA},01/04/2010 19:02:48,DTAA/LBB0095,PC-2780,Disconnect
{L5T2-M0FP36RX-7496TURX},01/04/2010 21:25:13,DTAA/NDS0490,PC-2549,Connect
{M8V8-X0IE73VU-7037NCIS},01/04/2010 21:26:20,DTAA/NDS0490,PC-2549,Disconnect
{P7M6-W2CZ92MF-9139WASN},01/05/2010 02:51:44,DTAA/CHA0174,PC-2751,Connect
{I0P9-A9AN27EB-1420BFHT},01/05/2010 02:58:09,DTAA/CHA0174,PC-2751,Disconnect
{U7N6-V4KF49HZ-8480MHQH},01/05/2010 03:34:07,DTAA/JCS0873,PC-1560,Connect
{H3J9-H8VD41WU-3863JBKH},01/05/2010 03:58:51,DTAA/JCS0873,PC-1560,Disconnect
{V1L9-V3PN78JZ-8911PLAJ},01/05/2010 04:00:26,DTAA/JHD0512,PC-2683,Connect
{A1O0-T2PX71WE-3984YLKJ},01/05/2010 04:11:23,DTAA/JHD0512,PC-2683,Disconnect
{F4X3-R5ZM65TP-5076PWQD},01/05/2010 07:33:59,DTAA/CCB0496,PC-0214,Connect
{I1B6-O6DL63CN-1254LEEA},01/05/2010 07:39:25,DTAA/MIK0034,PC-0845,Connect
{I3Q6-E4QV91OP-9082LQJQ},01/05/2010 08:09:42,DTAA/ARM0416,PC-1249,Connect
{N9D2-A1EI06KF-0936CPZM},01/05/2010 08:11:25,DTAA/GNH0394,PC-2161,Connect
{K9R0-I9PD90PS-3226SKDI},01/05/2010 08:14:50,DTAA/KKW0676,PC-4445,Connect
{W7Y5-N4BB57VG-7453OZKT},01/05/2010 08:24:37,DTAA/OJH0425,PC-1730,Connect
{Y3N5-E7TH01WJ-4813JQWQ},01/05/2010 08:24:42,DTAA/ARM0416,PC-1249,Disconnect
{N2R8-K9VK51VO-7500EEHY},01/05/2010 08:30:59,DTAA/GKJ0573,PC-3174,Connect
{Y3O7-X8BS47EZ-8054QNEX},01/05/2010 08:42:38,DTAA/SEF0446,PC-2477,Connect
{P2Q3-R1WP06GR-1866SRVD},01/05/2010 08:46:55,DTAA/SJA0691,PC-3231,Connect
{C4Q7-F3UR10FS-4193LUGF},01/05/2010 08:53:18,DTAA/SAH0192,PC-4079,Connect
{D6Q9-N8YR33SX-8934HNSY},01/05/2010 09:04:25,DTAA/HTC0607,PC-1033,Connect
{G9V0-R4LB45HJ-9220JBUR},01/05/2010 09:07:49,DTAA/GKJ0573,PC-3174,Disconnect
{E5Z4-Z4SB76TI-5671DKYR},01/05/2010 09:12:21,DTAA/AGW0182,PC-4531,Connect
{C5B8-U2CF65ED-8013WWNH},01/05/2010 09:13:23,DTAA/MXM0838,PC-4983,Connect
{P5M2-E5XA52FO-5875ICVL},01/05/2010 09:14:33,DTAA/AFH0331,PC-0850,Connect
{H1V9-X6JY27JM-8290OYFL},01/05/2010 09:17:10,DTAA/SJA0691,PC-3231,Disconnect
{T6B2-C9XR54OA-1521PULR},01/05/2010 09:17:41,DTAA/DFW0798,PC-3141,Connect
{N4V3-X3YO25YO-9021XRJJ},01/05/2010 09:25:32,DTAA/HTC0607,PC-1033,Disconnect
{T1P6-G2NT42GA-1907MFVY},01/05/2010 09:26:19,DTAA/CCB0496,PC-0214,Disconnect
{P8C9-U8TL28AP-2242JYDL},01/05/2010 09:35:35,DTAA/BJC0569,PC-2588,Connect
{F3O1-C7KA46TF-9236YFHC},01/05/2010 09:44:27,DTAA/NSP0910,PC-4479,Connect
{Y9K9-G7WP87OM-9492VSBO},01/05/2010 09:47:17,DTAA/JGB0062,PC-3269,Connect
{R4P4-I4PK77ZJ-1627BWGT},01/05/2010 09:49:41,DTAA/ATJ0284,PC-4337,Connect
{L6H4-O5DJ94PR-8133LMAT},01/05/2010 09:50:41,DTAA/AQG0678,PC-1127,Connect
{T7P3-J6TI13ZA-9171NBUI},01/05/2010 09:50:44,DTAA/VMA0051,PC-1950,Connect
{K9R4-Y2GC61QA-2831AXEE},01/05/2010 09:52:17,DTAA/QKR0651,PC-4881,Connect
{L2S1-Q8NC33BV-8394FAPU},01/05/2010 09:53:51,DTAA/MJM0469,PC-1592,Connect
{G4B0-Z0BE37EK-8159XKIA},01/05/2010 10:03:05,DTAA/ERP0254,PC-3959,Connect
{E7H3-L0HC75LW-3466AYIP},01/05/2010 10:10:45,DTAA/TNB0740,PC-2015,Connect
{X0J5-I6NO12CG-8899NSQA},01/05/2010 10:12:15,DTAA/AQG0678,PC-1127,Disconnect
{D5U8-M8BA54AB-8117BSDK},01/05/2010 10:19:50,DTAA/HBL0517,PC-1343,Connect
{Z0C0-B8SA52LX-1294FYTQ},01/05/2010 10:24:38,DTAA/FFP0721,PC-0690,Connect
{K4J1-Q1DG10NE-0512URYN},01/05/2010 10:26:58,DTAA/NSC0842,PC-4132,Connect
{R1S4-S4VE90IW-3560SENW},01/05/2010 10:31:04,DTAA/AGW0182,PC-4531,Disconnect
{P4K0-S5UI91KA-2238SCUP},01/05/2010 10:51:46,DTAA/NNB0443,PC-4625,Connect
{L1H6-K0NC93TK-2781RVFK},01/05/2010 10:56:17,DTAA/CPP0761,PC-2665,Connect
{H6R9-K0VT95BN-2378VBVL},01/05/2010 10:57:23,DTAA/SEF0446,PC-2477,Disconnect
{N6O4-Q4CL34TR-3378WAHT},01/05/2010 11:09:28,DTAA/MVW0630,PC-2005,Connect
{C7W0-M9QB08BT-9717ALDH},01/05/2010 11:12:45,DTAA/DAV0579,PC-1701,Connect
{U6F1-S4ZM98OI-3256CJJM},01/05/2010 11:15:32,DTAA/PUH0847,PC-2550,Connect
{F2E2-P5KQ52TH-9001PLMR},01/05/2010 11:18:35,DTAA/STF0145,PC-0191,Connect
{X9K4-K9SQ41OP-6006QVQK},01/05/2010 11:19:00,DTAA/ERP0254,PC-3959,Disconnect
